Label	Type	ID	Database	
map3k7	GeneProduct	553788	Entrez Gene
CARD	GeneProduct		
zgc:152984	GeneProduct	566811	Entrez Gene
TriDAP	Metabolite		
MDP	Metabolite		
DAMPS	Metabolite		
CARD	GeneProduct		
CARD	GeneProduct		
CARD	GeneProduct		
LOC562176	GeneProduct	562176	Entrez Gene
MAPK	GeneProduct		
zgc:172209	GeneProduct	562720	Entrez Gene
ikbkg	GeneProduct	541530	Entrez Gene
chuk	GeneProduct	393287	Entrez Gene
ikbkb	GeneProduct	563560	Entrez Gene
RelA	GeneProduct	415099	Entrez Gene
p50	GeneProduct		
