Label	Type	ID	Database	Comment
ERBB2IP	GeneProduct	471527	Entrez Gene	
DAMPS	Metabolite			
CHUK	GeneProduct	450673	Entrez Gene	
CARD	GeneProduct			
CARD	GeneProduct			
IKBKG	GeneProduct	743415	Entrez Gene	
TriDAP	Metabolite			
CARD	GeneProduct			
RelA	GeneProduct	466665	Entrez Gene	
MAPK	GeneProduct			
MAPK8	GeneProduct	450445	Entrez Gene	
EPHB2	GeneProduct	456613	Entrez Gene	
MAP3K7	GeneProduct	462888	Entrez Gene	
CARD	GeneProduct			
MDP	Metabolite			
IKBKB	GeneProduct	472749	Entrez Gene	
p50	GeneProduct			
