date,edits
201802,211
201803,206
201804,361
201805,206
201806,264
201807,233
201808,74
201809,108
201810,150
201811,250
201812,696
201901,267
201902,291
201903,276
201904,193
201905,179
201906,219
201907,259
201908,151
201909,691
201910,199
201911,137
201912,254
202001,144
202002,95
202003,164
202004,278
202005,252
202006,277
202007,131
202008,133
202009,87
202010,144
202011,657
202012,591
202101,240
202102,745
202103,201
202104,279
202105,118
202106,250
202107,651
202108,99
202109,42
202110,37
202111,47
202112,194
202201,225
202202,207
202203,780
202204,327
202205,197
202206,146
202207,183
202208,335
202209,243
202210,203
202211,201
202212,180
202301,151
202302,283
202303,293
202304,276
202305,316
202306,137
202307,232
202308,207
202309,85
202310,157
202311,120
202312,120
202401,105
202402,642
202403,556
202404,290
202405,110
202406,345
202407,53
202408,1114
202409,179
202410,167
202411,110
202412,272
202501,154
202502,313
202503,1297
202504,454
202505,491
