Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Agtr1a	GeneProduct	ncbigene:24180		ensembl:ENSRNOG00000018346	ncbigene:24180		uniprot:P25095			
ATP8A1	GeneProduct	ncbigene:289615		ensembl:ENSRNOG00000034200	ncbigene:289615		uniprot:D3ZJK8;uniprot:F1LUT4			
Agtr1a	GeneProduct	ncbigene:24180		ensembl:ENSRNOG00000018346	ncbigene:24180		uniprot:P25095			
Agtr2	GeneProduct	ncbigene:24182		ensembl:ENSRNOG00000050006	ncbigene:24182		uniprot:P35351;uniprot:B1WBL8			
Bdkrb2	GeneProduct	ncbigene:25245		ensembl:ENSRNOG00000047300	ncbigene:25245		uniprot:A0A0H2UI29;uniprot:G3V942			
Bdkrb1	GeneProduct	ncbigene:81509		ensembl:ENSRNOG00000004488	ncbigene:81509		uniprot:P97583			
Nmbr	GeneProduct	ncbigene:25264		ensembl:ENSRNOG00000012103	ncbigene:25264		uniprot:P24053;uniprot:F1M5M1;uniprot:A0A096MJ45			
Grpr	GeneProduct	ncbigene:24938		ensembl:ENSRNOG00000004124	ncbigene:24938		uniprot:P52500			
Brs3	GeneProduct	ncbigene:260319		ensembl:ENSRNOG00000000873	ncbigene:260319		uniprot:Q8K418			
Ccr1	GeneProduct	ncbigene:57301								
CCR2	GeneProduct	ncbigene:60463		ensembl:ENSRNOG00000063127	ncbigene:60463		uniprot:O55193			
Ccr3	GeneProduct	ncbigene:117027		ensembl:ENSRNOG00000006736	ncbigene:117027		uniprot:A0A0A0MXU9			
Ccr4	GeneProduct	ncbigene:171054								
Ccr5	GeneProduct	ncbigene:117029		ensembl:ENSRNOG00000049115	ncbigene:117029		uniprot:Q68G28			
Ccr6	GeneProduct	ncbigene:308163		ensembl:ENSRNOG00000012964	ncbigene:308163		uniprot:Q5BK58			
Ccr7	GeneProduct	ncbigene:287673		ensembl:ENSRNOG00000010665	ncbigene:287673		uniprot:Q6U2D6			
Ccr8	GeneProduct	ncbigene:301066								
Ccr10	GeneProduct	ncbigene:363682		ensembl:ENSRNOG00000020275	ncbigene:363682		uniprot:D3ZJH1			
Ccr1	GeneProduct	ncbigene:57301								
CXCR6	GeneProduct	ncbigene:100124593		ensembl:ENSRNOG00000006319	ncbigene:100124593		uniprot:A7ISD5			
Cxcr3	GeneProduct	ncbigene:84475								
Cxcr4	GeneProduct	ncbigene:60628		ensembl:ENSRNOG00000003866	ncbigene:60628		uniprot:O08565			
Cxcr5	GeneProduct	ncbigene:29363								
Cx3cr1	GeneProduct	ncbigene:171056								
Fshr	GeneProduct	ncbigene:25449		ensembl:ENSRNOG00000016783	ncbigene:25449		uniprot:P20395			
Lhcgr	GeneProduct	ncbigene:25477		ensembl:ENSRNOG00000016712	ncbigene:25477		uniprot:F1LMG6;uniprot:P16235			
Tshr	GeneProduct	ncbigene:25360		ensembl:ENSRNOG00000003972	ncbigene:25360		uniprot:G3V6J1			
GALR1	GeneProduct	ncbigene:50577		ensembl:ENSRNOG00000016654	ncbigene:50577		uniprot:Q62805			
Galr2	GeneProduct	ncbigene:29234		ensembl:ENSRNOG00000061733	ncbigene:29234		uniprot:O08726			
Galr3	GeneProduct	ncbigene:29235		ensembl:ENSRNOG00000027060	ncbigene:29235		uniprot:A0A140TAA9			
Ednra	GeneProduct	ncbigene:24326		ensembl:ENSRNOG00000012721	ncbigene:24326		uniprot:A0A0G2JSX5;uniprot:A1Y2R7;uniprot:A1Y2R9;uniprot:A1Y2B8;uniprot:A1Y2R8			
Ednrb	GeneProduct	ncbigene:50672		ensembl:ENSRNOG00000010997	ncbigene:50672		uniprot:P21451			
Cckar	GeneProduct	ncbigene:24889		ensembl:ENSRNOG00000043124	ncbigene:24889		uniprot:F1LQR7			
Cckbr	GeneProduct	ncbigene:25706		ensembl:ENSRNOG00000017679	ncbigene:25706		uniprot:A0A0G2K3V3;uniprot:G3V8A8			
Fpr1	GeneProduct	ncbigene:292409		ensembl:ENSRNOG00000011174	ncbigene:292409		uniprot:D4A7Q2			
Fpr2	GeneProduct	ncbigene:690158		ensembl:ENSRNOG00000042605	ncbigene:690158					
Fpr3	GeneProduct	ncbigene:292413		ensembl:ENSRNOG00000031331	ncbigene:292413		uniprot:F1M670;uniprot:D4A8L8			
C3ar1	GeneProduct	ncbigene:84007		ensembl:ENSRNOG00000009211	ncbigene:84007		uniprot:G3V759			
Il8ra	GeneProduct	ncbigene:54258		ensembl:ENSRNOG00000048239	ncbigene:54258		uniprot:P70612			
Il8rb	GeneProduct	ncbigene:29385								
MC1R	GeneProduct	ncbigene:292083								
Mc3r	GeneProduct	ncbigene:29310		ensembl:ENSRNOG00000004451	ncbigene:29310		uniprot:P32244			
