Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Carbon dioxide	Metabolite	pubchem.compound:280	""					wikidata:Q1997	chebi:16526	inchikey:CURLTUGMZLYLDI-UHFFFAOYSA-N	pubchem.compound:280	chemspider:274	hmdb:HMDB0001967	kegg.compound:C00011	
Malonyl-CoA	Metabolite	pubchem.compound:869	""					wikidata:Q424593		inchikey:LTYOQGRJFJAKNA-UHFFFAOYSA-N	pubchem.compound:869	chemspider:846;chemspider:21232066;chemspider:21232296;chemspider:21236016;chemspider:21231956			
acetyl coenzyme a	Metabolite	pubchem.compound:444493	""					wikidata:Q715317	chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N	pubchem.compound:444493	chemspider:392413	hmdb:HMDB0001206	kegg.compound:C00024	lipidmaps:LMFA07050281
methoxy mycolic acid	Metabolite	chebi:59233	""					wikidata:Q27126553	chebi:59233	inchikey:KZLRXNDCHXPYTL-UHFFFAOYSA-N	pubchem.compound:45266792	chemspider:26331522			lipidmaps:LMFA01160024
α-mycolic acid	Metabolite	chebi:59235	""					wikidata:Q27126555	chebi:59235	inchikey:PBYNMDCXAUWQCG-UHFFFAOYSA-N	pubchem.compound:45266794	chemspider:26331524			lipidmaps:LMFA01160021
AcpM	GeneProduct	ncbigene:888272	""												
InhA	GeneProduct	ncbigene:886523	""												
FadD32	Protein	uniprot:O53580	""	ensembl:Rv3801c			uniprot:O53580;uniprot:UPI00000D4FAD								
mtFabH	Protein	uniprot:P9WNG3	""	ensembl:Rv0533c			uniprot:P9WNG3;uniprot:UPI0000113072								
KasA	Protein	uniprot:A5U4S7	""												
Rv0636	Protein	uniprot:I6WYY7	""	ensembl:Rv0636			uniprot:I6WYY7;uniprot:UPI00000D5E80								
Rv0635	Protein	uniprot:I6Y8B9	""												
Rv0637	Protein	uniprot:I6Y4B3	""												
Rv2425c	Protein	uniprot:P71923	""	ensembl:Rv2425c			uniprot:UPI00000D1130;uniprot:P71923								
KasB	Protein	uniprot:P9WQD6	""												
