Label	Type	ID	Database	
TRA@	GeneProduct		
TRB@	GeneProduct		
CD3G	GeneProduct		
CD3D	GeneProduct		
CD3E	GeneProduct		
CD5	GeneProduct		
ptpn6	GeneProduct	335573	Entrez Gene
NCK1	GeneProduct		
sla1	GeneProduct	571922	Entrez Gene
syk	GeneProduct	405769	Entrez Gene
cbl	GeneProduct	492364	Entrez Gene
LOC557176	GeneProduct	557176	Entrez Gene
pik3r2	GeneProduct	404211	Entrez Gene
TRAT1	GeneProduct		
LAX1	GeneProduct		
LOC564517	GeneProduct	564517	Entrez Gene
LOC563639	GeneProduct	563639	Entrez Gene
PRKCQ	GeneProduct	555521	Entrez Gene
VAV1	GeneProduct		
LOC796938	GeneProduct	796938	Entrez Gene
LOC100000665	GeneProduct	100000665	Entrez Gene
PTPN3	GeneProduct	407635	Entrez Gene
PTPN12	GeneProduct	393642	Entrez Gene
map2k1	GeneProduct	406728	Entrez Gene
mapk1	GeneProduct	360144	Entrez Gene
PRKD2	GeneProduct		
SIT1	GeneProduct		
ptpn11	GeneProduct	333979	Entrez Gene
LOC564899	GeneProduct	564899	Entrez Gene
PTPRH	GeneProduct		
zgc:172250	GeneProduct	100002225	Entrez Gene
mapk3	GeneProduct	399480	Entrez Gene
wu:fk86g11	GeneProduct	559145	Entrez Gene
VAV2	GeneProduct		
stat1a	GeneProduct	30768	Entrez Gene
STAT5A	GeneProduct		
mapk7	GeneProduct	541323	Entrez Gene
JAK3	GeneProduct	561370	Entrez Gene
sh2d3ca	GeneProduct	558860	Entrez Gene
LOC793398	GeneProduct	793398	Entrez Gene
pak1	GeneProduct	373103	Entrez Gene
zgc:158223	GeneProduct	563784	Entrez Gene
skap2	GeneProduct	368564	Entrez Gene
CH211-67F24.8	GeneProduct	561670	Entrez Gene
zgc:112450	GeneProduct	553729	Entrez Gene
LOC100000720	GeneProduct	100000720	Entrez Gene
rasa1	GeneProduct	100002155	Entrez Gene
si:dkey-78k11.1	GeneProduct	565606	Entrez Gene
crkl	GeneProduct	556443	Entrez Gene
ctnnb1	GeneProduct	30265	Entrez Gene
cblb	GeneProduct	556277	Entrez Gene
SHB	GeneProduct		
src	GeneProduct	325084	Entrez Gene
ptk2.1	GeneProduct	142986	Entrez Gene
LOC792354	GeneProduct	792354	Entrez Gene
CD4	GeneProduct		
CD8A	GeneProduct	677754	Entrez Gene
LOC798084	GeneProduct	798084	Entrez Gene
STAT5B	GeneProduct		
CD2	GeneProduct		
rap1a	GeneProduct	415242	Entrez Gene
zgc:92124	GeneProduct	447804	Entrez Gene
rac2	GeneProduct	415151	Entrez Gene
CD3Z	GeneProduct		
CD3Z	GeneProduct		
fynb	GeneProduct	574422	Entrez Gene
zgc:110383	GeneProduct	553615	Entrez Gene
LCK	GeneProduct	414333	Entrez Gene
MAP4K1	GeneProduct		
MUC1	GeneProduct		
tubb5	GeneProduct	386701	Entrez Gene
FCRL3	GeneProduct		
zgc:171590	GeneProduct	568515	Entrez Gene
LOC557072	GeneProduct	557072	Entrez Gene
LOC100151491	GeneProduct	100151491	Entrez Gene
NFAM1	GeneProduct		
zgc:63721	GeneProduct	394015	Entrez Gene
wasb	GeneProduct	335158	Entrez Gene
GRAP	GeneProduct	553596	Entrez Gene
zgc:112091	GeneProduct	550452	Entrez Gene
zgc:101809	GeneProduct	336073	Entrez Gene
arhgdig	GeneProduct	394132	Entrez Gene
crk	GeneProduct	445234	Entrez Gene
DTX1	GeneProduct	570481	Entrez Gene
NEDD9	GeneProduct		
CH211-127H20.2	GeneProduct	558635	Entrez Gene
si:dkey-24l11.5	GeneProduct	571331	Entrez Gene
LAT	GeneProduct	100233211	Entrez Gene
grb2	GeneProduct	406308	Entrez Gene
SOS1	GeneProduct		
plcg1	GeneProduct	373867	Entrez Gene
pxn	GeneProduct	399546	Entrez Gene
ARHGEF7	GeneProduct		
TXK	GeneProduct		
KHDRBS1	GeneProduct		
ncl	GeneProduct	767714	Entrez Gene
UNC119	GeneProduct		
tuba8l2	GeneProduct	393664	Entrez Gene
itk	GeneProduct	798906	Entrez Gene
dnm2l	GeneProduct	406525	Entrez Gene
dlg1	GeneProduct	114446	Entrez Gene
creb1	GeneProduct	573207	Entrez Gene
crebbpb	GeneProduct	503776	Entrez Gene
LOC558288	GeneProduct	558288	Entrez Gene
DKEY-234H16.4	GeneProduct	793882	Entrez Gene
zgc:162320	GeneProduct	555805	Entrez Gene
ENAH	GeneProduct	563805	Entrez Gene
evlb	GeneProduct	402929	Entrez Gene
cdc42l	GeneProduct	793158	Entrez Gene
LOC796938	GeneProduct	796938	Entrez Gene
zgc:101809	GeneProduct	336073	Entrez Gene
NCK1	GeneProduct		
PTPRC	GeneProduct	559154	Entrez Gene
SH2D2A	GeneProduct		
WASF2	GeneProduct		
zgc:153534	GeneProduct	767738	Entrez Gene
LOC100003365	GeneProduct	100003365	Entrez Gene
RASGRP2	GeneProduct		
cd2apl	GeneProduct	494040	Entrez Gene
zgc:55557	GeneProduct	394088	Entrez Gene
cebpb	GeneProduct	140814	Entrez Gene
PPP3CB	GeneProduct		
wu:fb79a07	GeneProduct	571383	Entrez Gene
LOC571865	GeneProduct	571865	Entrez Gene
