Label	Type	ID	Database	Comment
NADPphosphatase	GeneProduct			
Phosphate	Metabolite	HMDB0001429	hmdb:HMDB0001429	
Water	Metabolite	HMDB0002111	hmdb:HMDB0002111	
Adenosinetriphosphate	Metabolite	HMDB0000538	hmdb:HMDB0000538	
5′-nucleotidase	GeneProduct			
nadR	GeneProduct	EBESCG00000001171	ensembl:EBESCG00000001171	
NADP	Metabolite	HMDB0000217	hmdb:HMDB0000217	
Nicotinamide ribotide	Metabolite	HMDB0000229	hmdb:HMDB0000229	
nudC	GeneProduct	EBESCG00000003522	ensembl:EBESCG00000003522	
NAD	Metabolite	HMDB0000902	hmdb:HMDB0000902	
Water	Metabolite	HMDB0002111	hmdb:HMDB0002111	
Hydrogen Ion	Metabolite	HMDB0059597	hmdb:HMDB0059597	
Hydrogen Ion	Metabolite	HMDB0059597	hmdb:HMDB0059597	
Adenosinemonophosphate	Metabolite	HMDB0000045	hmdb:HMDB0000045	
Water	Metabolite	HMDB0002111	hmdb:HMDB0002111	
Phosphate	Metabolite	HMDB0001429	hmdb:HMDB0001429	
Nicotinamideriboside	Metabolite	HMDB0000855	hmdb:HMDB0000855	
Nicotinamide ribotide	Metabolite	HMDB0000229	hmdb:HMDB0000229	
Hydrogen Ion	Metabolite	HMDB0059597	hmdb:HMDB0059597	
ADP	Metabolite	HMDB0001341	hmdb:HMDB0001341	
NAD	Metabolite	HMDB0000902	hmdb:HMDB0000902	
Hydrogen Ion	Metabolite	HMDB0059597	hmdb:HMDB0059597	
Adenosinetriphosphate	Metabolite	HMDB0000538	hmdb:HMDB0000538	
Pyrophosphate	Metabolite	HMDB0000250	hmdb:HMDB0000250	
nadR	GeneProduct	EBESCG00000001171	ensembl:EBESCG00000001171	
