Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
TAK1	GeneProduct	ncbigene:6885	L:6885:T								
ERBB2IP	GeneProduct	ncbigene:55914	L:55914:T								
ERK	GeneProduct	ncbigene:2048	L:2048:T								
MAPK	GeneProduct	hgnc.symbol:651	H:651:T								
JNK	GeneProduct	ncbigene:5599	L:5599:T								
NEMO	GeneProduct	ncbigene:8517	L:8517:T								
IKKalpha	GeneProduct	ncbigene:1147	L:1147:T								
IKKbeta	GeneProduct	ncbigene:3551	L:3551:T								
RelA	GeneProduct	ncbigene:5970	L:5970:T								
p50	GeneProduct	ncbigene:958	L:958:T								
