Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Vitamin D	Metabolite	chebi:27300						wikidata:Q175621	chebi:27300;chebi:27300	
Vitamin D	Metabolite	chebi:27300						wikidata:Q175621	chebi:27300;chebi:27300	
Sodium	Metabolite	chebi:29101						wikidata:Q3154110	chebi:29101;chebi:29101	inchikey:FKNQFGJONOIPTF-UHFFFAOYSA-N
Phosphate	Metabolite	chebi:18367						wikidata:Q177811	chebi:18367;chebi:18367	inchikey:NBIIXXVUZAFLBC-UHFFFAOYSA-K
Parathyroid hormone	GeneProduct	ncbigene:24694		ensembl:ENSRNOG00000014318	ncbigene:24694		uniprot:P04089			
Osteoprotegerin	GeneProduct	ncbigene:25341								
RANK ligand	GeneProduct	ncbigene:117516		ensembl:ENSRNOG00000071047	ncbigene:117516		uniprot:G3V794			
Bone sialoprotein	GeneProduct	ncbigene:25295		ensembl:ENSRNOG00000019607	ncbigene:25295		uniprot:P04640			
Bone sialoprotein	GeneProduct	ncbigene:25295		ensembl:ENSRNOG00000019607	ncbigene:25295		uniprot:P04640			
PTH receptor	GeneProduct	ncbigene:56813								
PDGF Ra	GeneProduct	ncbigene:25267		ensembl:ENSRNOG00000002244	ncbigene:25267		uniprot:G3V6A0			
FGF-23	GeneProduct	ncbigene:170583		ensembl:ENSRNOG00000066556	ncbigene:170583		uniprot:Q8VI82			
Collagen 1	GeneProduct	ncbigene:29393		ensembl:ENSRNOG00000003897	ncbigene:29393		uniprot:P02454			
FGF-23	GeneProduct	ncbigene:170583		ensembl:ENSRNOG00000066556	ncbigene:170583		uniprot:Q8VI82			
PTH receptor	GeneProduct	ncbigene:56813								
Parathyroid hormone	GeneProduct	ncbigene:24694		ensembl:ENSRNOG00000014318	ncbigene:24694		uniprot:P04089			
NPT3	GeneProduct	ncbigene:25548		ensembl:ENSRNOG00000015262	ncbigene:25548		uniprot:Q06496			
Osteoprotegerin	GeneProduct	ncbigene:25341								
Osteocalcin	GeneProduct	ncbigene:25295		ensembl:ENSRNOG00000019607	ncbigene:25295		uniprot:P04640			
PDGF Rb	GeneProduct	ncbigene:24629		ensembl:ENSRNOG00000018461	ncbigene:24629		uniprot:Q05030			
PDGF Ra	GeneProduct	ncbigene:25267		ensembl:ENSRNOG00000002244	ncbigene:25267		uniprot:G3V6A0			
PDGF Rb	GeneProduct	ncbigene:24629		ensembl:ENSRNOG00000018461	ncbigene:24629		uniprot:Q05030			
