Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
NEK7	GeneProduct	ensembl:ENSG00000151414	""	ensembl:ENSG00000151414	ncbigene:140609	hgnc.symbol:NEK7	uniprot:C9J1H8;uniprot:Q8TDX7;uniprot:F8WAG2;uniprot:F5H3U7			
EPAC1	GeneProduct	ncbigene:10411	""	ensembl:ENSG00000079337	ncbigene:10411	hgnc.symbol:RAPGEF3	uniprot:H0YIP6;uniprot:F8VRX1;uniprot:H0YHS2;uniprot:F8VXK1;uniprot:O95398;uniprot:F8VVJ6;uniprot:F8W0N0			
PRKACA	GeneProduct	ensembl:ENSG00000288516	""							
PRKACB	GeneProduct	ensembl:ENSG00000142875	""	ensembl:ENSG00000142875	ncbigene:5567	hgnc.symbol:PRKACB	uniprot:B1APG0;uniprot:B1APG1;uniprot:B1APF9;uniprot:B2RB89;uniprot:B1APF7;uniprot:B1APF8;uniprot:B1APG2;uniprot:B1APG3;uniprot:A0A087WVC4;uniprot:P22694			
PRKAR1A	GeneProduct	ensembl:ENSG00000108946	""	ensembl:ENSG00000108946	ncbigene:5573	hgnc.symbol:PRKAR1A	uniprot:K7EPB2;uniprot:X6RAV4;uniprot:K7EQK3;uniprot:B2R5T5;uniprot:K7EIE5;uniprot:K7EPR5;uniprot:K7EM13;uniprot:K7EKR1;uniprot:K7EMU2;uniprot:K7EJ40;uniprot:K7EMZ6;uniprot:P10644;uniprot:K7EK41			
NLRP3	GeneProduct	ensembl:ENSG00000162711	""	ensembl:ENSG00000162711	ncbigene:114548	hgnc.symbol:NLRP3	uniprot:A0A7I2PRX0;uniprot:A0A7I2R3P8;uniprot:A0A7I2PJH0;uniprot:A0A2R8YEG7;uniprot:A0A7I2PMC6;uniprot:A0A7I2YME5;uniprot:A0A7I2UNQ2			
IL1B	GeneProduct	ensembl:ENSG00000125538	""	ensembl:ENSG00000125538	ncbigene:3553	hgnc.symbol:IL1B	uniprot:C9JSC2;uniprot:C9JWV2;uniprot:C9JVK0;uniprot:P01584			
PRKAR2B	GeneProduct	ensembl:ENSG00000188191	""	ensembl:ENSG00000188191	ncbigene:5575	hgnc.symbol:PRKAR1B	uniprot:C9JR00;uniprot:C9J4C2;uniprot:C9JSK5;uniprot:H7BYW5;uniprot:C9IZL8;uniprot:P31321			
PRKACA	GeneProduct	ensembl:ENSG00000288516	""							
PRKACB	GeneProduct	ensembl:ENSG00000142875	""	ensembl:ENSG00000142875	ncbigene:5567	hgnc.symbol:PRKACB	uniprot:B1APG0;uniprot:B1APG1;uniprot:B1APF9;uniprot:B2RB89;uniprot:B1APF7;uniprot:B1APF8;uniprot:B1APG2;uniprot:B1APG3;uniprot:A0A087WVC4;uniprot:P22694			
PRKAR2A	GeneProduct	ensembl:ENSG00000114302	""	ensembl:ENSG00000114302	ncbigene:5576	hgnc.symbol:PRKAR2A	uniprot:H7C4A9;uniprot:P13861;uniprot:A0A024R2W3;uniprot:H7C1L0;uniprot:C9J830;uniprot:H7C330;uniprot:A0A0S2Z472			
PRKAR1B	GeneProduct	ensembl:ENSG00000188191	""	ensembl:ENSG00000188191	ncbigene:5575	hgnc.symbol:PRKAR1B	uniprot:C9JR00;uniprot:C9J4C2;uniprot:C9JSK5;uniprot:H7BYW5;uniprot:C9IZL8;uniprot:P31321			
