Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
macroH2A	GeneProduct	ensembl:ENSG00000113648		ensembl:ENSG00000113648	ncbigene:9555	hgnc.symbol:MACROH2A1	uniprot:D6RCF2;uniprot:O75367;uniprot:B4DJC3			
CDK4	GeneProduct	ensembl:ENSG00000135446		ensembl:ENSG00000135446	ncbigene:1019	hgnc.symbol:CDK4	uniprot:F8VTV8;uniprot:F8VWX7;uniprot:F8VXD2;uniprot:F8VZ51;uniprot:F8VZ13;uniprot:F8W1L8;uniprot:F8VYH9;uniprot:F8VZZ0;uniprot:P11802;uniprot:A0A024RBB6;uniprot:F8VYY1;uniprot:Q96BE9			
CTNNB1	GeneProduct	ensembl:ENSG00000168036		ensembl:ENSG00000168036	ncbigene:1499	hgnc.symbol:CTNNB1	uniprot:A0A2R8Y6G0;uniprot:A0A2R8Y804;uniprot:A0A2R8Y815;uniprot:A0A2R8Y5A3;uniprot:C9IZ65;uniprot:A0A2R8Y5C3;uniprot:P35222;uniprot:A0A2R8Y7Z0;uniprot:A0A2R8YG06;uniprot:A0A2R8Y5Z1;uniprot:A0A2R8Y750;uniprot:A0A2R8YCH5;uniprot:A0A024R2Q3;uniprot:A0A2R8Y543;uniprot:B4DGU4			
CCND1	GeneProduct	ensembl:ENSG00000110092		ensembl:ENSG00000110092	ncbigene:595	hgnc.symbol:CCND1	uniprot:P24385;uniprot:Q6FI00;uniprot:F5H437			
E2F1	GeneProduct	ensembl:ENSG00000101412		ensembl:ENSG00000101412	ncbigene:1869	hgnc.symbol:E2F1	uniprot:Q01094			
CDK8	GeneProduct	ensembl:ENSG00000132964		ensembl:ENSG00000132964	ncbigene:1024	hgnc.symbol:CDK8	uniprot:A0A0D9SEP3;uniprot:A0A0D9SFZ2;uniprot:F5H6D4;uniprot:P49336			
CDK8	GeneProduct	ensembl:ENSG00000132964		ensembl:ENSG00000132964	ncbigene:1024	hgnc.symbol:CDK8	uniprot:A0A0D9SEP3;uniprot:A0A0D9SFZ2;uniprot:F5H6D4;uniprot:P49336			
MED1	GeneProduct	ensembl:ENSG00000125686		ensembl:ENSG00000125686	ncbigene:5469	hgnc.symbol:MED1	uniprot:J3QKZ7;uniprot:Q15648;uniprot:J3KSD7			
CSRP2	GeneProduct	ensembl:ENSG00000175183		ensembl:ENSG00000175183	ncbigene:1466	hgnc.symbol:CSRP2	uniprot:F8VQR7;uniprot:Q16527;uniprot:A0A024RBB5;uniprot:F8VW96			
JAG1	GeneProduct	ensembl:ENSG00000101384		ensembl:ENSG00000101384	ncbigene:182	hgnc.symbol:JAG1	uniprot:P78504;uniprot:A0A087WXH5;uniprot:A0A087X1E8			
SOX4	GeneProduct	ensembl:ENSG00000124766		ensembl:ENSG00000124766	ncbigene:6659	hgnc.symbol:SOX4	uniprot:Q06945			
CDH1	GeneProduct	ensembl:ENSG00000039068		ensembl:ENSG00000039068	ncbigene:999	hgnc.symbol:CDH1	uniprot:H3BVI7;uniprot:P12830;uniprot:H3BNC6;uniprot:A0A0U2ZQU7;uniprot:J3QKP1			
TULP3	GeneProduct	ensembl:ENSG00000078246		ensembl:ENSG00000078246	ncbigene:7289	hgnc.symbol:TULP3	uniprot:O75386;uniprot:F5GWL5;uniprot:F5H7B9;uniprot:H0YFU8;uniprot:H0YG12			
PMAIP1	GeneProduct	ensembl:ENSG00000141682		ensembl:ENSG00000141682	ncbigene:5366	hgnc.symbol:PMAIP1	uniprot:A0A0S2Z490;uniprot:Q13794;uniprot:A0A0S2Z4V2			
RB1	GeneProduct	ensembl:ENSG00000139687		ensembl:ENSG00000139687	ncbigene:5925	hgnc.symbol:RB1	uniprot:A0A3B3IS71;uniprot:Q92728;uniprot:A0A024RDV3;uniprot:A0A2R8YFL6;uniprot:A0A2R8Y743;uniprot:P06400			
E2F1	GeneProduct	ensembl:ENSG00000101412		ensembl:ENSG00000101412	ncbigene:1869	hgnc.symbol:E2F1	uniprot:Q01094			
RB1	GeneProduct	ensembl:ENSG00000139687		ensembl:ENSG00000139687	ncbigene:5925	hgnc.symbol:RB1	uniprot:A0A3B3IS71;uniprot:Q92728;uniprot:A0A024RDV3;uniprot:A0A2R8YFL6;uniprot:A0A2R8Y743;uniprot:P06400			
