Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Guanosine 5'-monophosphorothioate	Metabolite	pubchem.compound:135405922	""					wikidata:Q27460547		inchikey:DIDGPCDGNMIUNX-UUOKFMHZSA-N	pubchem.compound:11122713;pubchem.compound:135405922	chemspider:9297842			
5'-AMP	Metabolite	chebi:16027	""					wikidata:Q318369;wikidata:Q90529152	chebi:16027	inchikey:UDMBCSSLTHHNCD-KQYNXXCUSA-N	pubchem.compound:6083	chemspider:5858	hmdb:HMDB0000045	kegg.compound:C00020	
3'-lysyl-AMP	Metabolite	chebi:131569	""					wikidata:Q27225190	chebi:131569	inchikey:BBMVJPQPYRNBMM-OPYVMVOTSA-N	pubchem.compound:44223981				
ATP	Metabolite	chebi:30616	""					wikidata:Q27113900	chebi:30616	inchikey:ZKHQWZAMYRWXGA-KQYNXXCUSA-J	pubchem.compound:5461108	chemspider:4574455			
Lysine	Metabolite	chebi:25094	""					wikidata:Q178430	chebi:25094	inchikey:KDXKERNSBIXSRK-UHFFFAOYSA-N	pubchem.compound:5248709;pubchem.compound:866	chemspider:843		kegg.compound:C16440	
CCNH	GeneProduct	uniprot:P51946	"'Cyclin H' originally"	ensembl:ENSG00000134480	ncbigene:902	hgnc.symbol:CCNH	uniprot:A0A2R8Y4K6;uniprot:D6RG18;uniprot:P51946;uniprot:A0A2R8YEM2;uniprot:D6RHI7								
TCF4	GeneProduct	uniprot:P15884	""	ensembl:ENSG00000196628	ncbigene:6925	hgnc.symbol:TCF4	uniprot:A0A0D9SG78;uniprot:A0A0D9SEX8;uniprot:A0A024R2C0;uniprot:A0A0D9SF97;uniprot:H3BRF7;uniprot:E9PH57;uniprot:A0A0D9SFZ1;uniprot:H3BP59;uniprot:A0A0D9SGH7;uniprot:H3BT95;uniprot:H3BPJ7;uniprot:A0A0D9SF18;uniprot:H3BML7;uniprot:A0A0D9SG44;uniprot:A0A1B0GVR6;uniprot:H3BNZ2;uniprot:A0A6Q8PGE3;uniprot:A0A1B0GV10;uniprot:H3BTM9;uniprot:A0A1B0GUT3;uniprot:H3BMC8;uniprot:G0LNT4;uniprot:G0LNT7;uniprot:H3BTZ0;uniprot:A0A0D9SGE5;uniprot:A0A1B0GWD5;uniprot:H3BNI2;uniprot:A0A0D9SGE4;uniprot:P15884;uniprot:A0A1B0GVB8;uniprot:A0A0D9SG55;uniprot:K7ESI6;uniprot:A0A0D9SFX5;uniprot:A0A0D9SEZ3;uniprot:A0A0D9SGE7;uniprot:H3BTP3;uniprot:A0A0D9SGJ4;uniprot:A0A1B0GW91;uniprot:H3BTC3;uniprot:A0A0D9SFU5;uniprot:A0A1B0GTP2;uniprot:H3BME8;uniprot:A0A075B723;uniprot:A0A0D9SG61;uniprot:A0A0E3D6N2;uniprot:H3BUQ3;uniprot:H3BT24;uniprot:A0A1B0GXH5;uniprot:H3BPG3;uniprot:A0A0D9SEK1								
NFκB1	GeneProduct	uniprot:P19838	""	ensembl:ENSG00000109320	ncbigene:4790	hgnc.symbol:NFKB1	uniprot:A0A494C157;uniprot:A0A494C1E9;uniprot:P19838;uniprot:D6RC45;uniprot:A0A8V8TLB2;uniprot:D6RH30								
CTNNB1	GeneProduct	uniprot:P35222	""	ensembl:ENSG00000168036	ncbigene:1499	hgnc.symbol:CTNNB1	uniprot:A0A2R8Y6G0;uniprot:A0A2R8Y804;uniprot:A0A2R8Y815;uniprot:A0A2R8Y5A3;uniprot:C9IZ65;uniprot:A0A2R8Y5C3;uniprot:P35222;uniprot:A0A2R8Y7Z0;uniprot:A0A2R8YG06;uniprot:A0A2R8Y5Z1;uniprot:A0A2R8Y750;uniprot:A0A2R8YCH5;uniprot:A0A024R2Q3;uniprot:A0A2R8Y543;uniprot:B4DGU4								
CDK7	GeneProduct	ensembl:ENSG00000134058	""	ensembl:ENSG00000134058	ncbigene:1022	hgnc.symbol:CDK7	uniprot:D6RIG9;uniprot:D6RFL0;uniprot:D6RI01;uniprot:D6RF14;uniprot:D6RGG9;uniprot:P50613;uniprot:A0A0S2Z3F9;uniprot:D6R9G1;uniprot:D6R9Z2;uniprot:D6RAD4;uniprot:D6REC6								
NFATC2	GeneProduct	uniprot:Q13469	""	ensembl:ENSG00000101096	ncbigene:4773	hgnc.symbol:NFATC2	uniprot:Q13469								
FOS	GeneProduct	uniprot:P01100	""	ensembl:ENSG00000170345	ncbigene:2353	hgnc.symbol:FOS	uniprot:G3V5N7;uniprot:H0YJM3;uniprot:G3V5N9;uniprot:Q6FG41;uniprot:G3V5J9;uniprot:G3V289;uniprot:G3V2V7;uniprot:P01100								
KARS1	GeneProduct	ensembl:ENSG00000065427	""	ensembl:ENSG00000065427	ncbigene:3735	hgnc.symbol:KARS1	uniprot:H3BMR9;uniprot:H3BPV7;uniprot:H3BVA8;uniprot:Q15046;uniprot:H3BRC9;uniprot:H3BQK5;uniprot:H3BSN6;uniprot:J3KRL2								
USF2	GeneProduct	ensembl:ENSG00000105698	""	ensembl:ENSG00000105698	ncbigene:7392	hgnc.symbol:USF2	uniprot:M0QZ39;uniprot:M0R1C6;uniprot:Q15853;uniprot:M0QXT0;uniprot:M0QY46;uniprot:M0QYU7;uniprot:B4DLJ1;uniprot:V9GYR5								
MITF	GeneProduct	ensembl:ENSG00000187098	""	ensembl:ENSG00000187098	ncbigene:4286	hgnc.symbol:MITF	uniprot:A0A8I5KRZ6;uniprot:C9JBI8;uniprot:C9K0S7;uniprot:E9PKJ8;uniprot:A0A8I5KSZ4;uniprot:C9J845;uniprot:A0A087WXU1;uniprot:A0A8I5KTU3;uniprot:O75030								
HINT1	GeneProduct	ensembl:ENSG00000169567	""	ensembl:ENSG00000169567	ncbigene:3094	hgnc.symbol:HINT1	uniprot:A0A6Q8PGQ8;uniprot:D6RC06;uniprot:P49773;uniprot:D6RD60;uniprot:D6REP8;uniprot:H0YC49;uniprot:A0A384NPU2;uniprot:D6RE99								
JUN	GeneProduct	ensembl:ENSG00000177606	""	ensembl:ENSG00000177606	ncbigene:3725	hgnc.symbol:JUN	uniprot:P05412								
SH3RF1	GeneProduct	ensembl:ENSG00000154447	""	ensembl:ENSG00000154447	ncbigene:57630	hgnc.symbol:SH3RF1	uniprot:H0YA90;uniprot:Q7Z6J0;uniprot:D6RAL3;uniprot:D6RHX5								
MAPK9	GeneProduct	ensembl:ENSG00000050748	""	ensembl:ENSG00000050748	ncbigene:5601	hgnc.symbol:MAPK9	uniprot:D7R525;uniprot:D7R528;uniprot:J3KNK1;uniprot:E5RJ57;uniprot:P45984								
RUVB2	GeneProduct	uniprot:Q9Y230	""	ensembl:ENSG00000183207	ncbigene:10856	hgnc.symbol:RUVBL2	uniprot:M0QXI6;uniprot:M0QXZ7;uniprot:M0R0Z0;uniprot:M0R0Y3;uniprot:X6R2L4;uniprot:Q9Y230;uniprot:M0QYD8								
RUVB1	GeneProduct	uniprot:Q9Y265	""	ensembl:ENSG00000175792	ncbigene:8607	hgnc.symbol:RUVBL1	uniprot:A0A384MTR5;uniprot:E7ETR0;uniprot:Q9Y265;uniprot:H7C4G5;uniprot:J3QLR1;uniprot:H7C4I3								
MAT1	GeneProduct	uniprot:P51948	""	ensembl:ENSG00000020426	ncbigene:4331	hgnc.symbol:MNAT1	uniprot:P51948;uniprot:H0YJF2;uniprot:A0A024R688;uniprot:H0YJ92;uniprot:A0A024R669								
